# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
123459.40000 -0.583467 4.624259 0.951865 0.105148 0.007288 -0.987682 0.115652 0.0003420440 0.0000474484 0.0000384662 0.0003985444 0.0002687182 0.0006075984 0.0089438392 -0.0023418839 0.0007036998 0.0088356202 -0.0014130328 0.0026659607
123459.50000 -0.595490 4.888706 0.949618 0.095456 0.018103 -0.988071 0.119483 0.0002489335 -0.0000373072 -0.0000359657 0.0002624357 0.0001149923 0.0004388118 0.0056395838 0.0006009099 0.0001754196 0.0065096432 -0.0009783729 0.0024873579
123459.60000 -0.695705 5.247664 0.983746 0.097160 0.021589 -0.986392 0.130860 0.0000441137 -0.0000018726 -0.0000192221 0.0000511711 0.0000214582 0.0001663486 0.0033845756 0.0002359720 0.0000455812 0.0018970172 -0.0000483554 0.0015905209
123459.70000 -0.781276 5.545502 1.003424 0.096292 0.028842 -0.985098 0.139567 0.0000648487 -0.0000209297 -0.0000183259 0.0000697537 0.0000205253 0.0001673054 0.0039099975 0.0003260542 0.0000601532 0.0020668546 -0.0000795265 0.0017303903
123459.80000 -0.870445 5.842306 1.016973 0.090582 0.030268 -0.984478 0.147250 0.0000791732 -0.0000341230 -0.0000154997 0.0000826342 0.0000167497 0.0001690022 0.0044050574 0.0004049978 0.0000722026 0.0022674326 -0.0001153602 0.0018806097
123459.90000 -0.969097 6.140985 1.020965 0.088074 0.038469 -0.983145 0.155529 0.0000753583 -0.0000266616 -0.0000189919 0.0000731662 0.0000217740 0.0001700167 0.0049733475 0.0004965278 0.0000833527 0.0025116810 -0.0001605224 0.0020708753
123460.00000 -1.069803 6.432681 1.024028 0.079095 0.036704 -0.982763 0.163016 0.0001077548 -0.0000426262 -0.0000239077 0.0000809610 0.0000235448 0.0001735396 0.0056237645 0.0006045444 0.0000948494 0.0028190498 -0.0002179554 0.0023164805
123460.10000 -1.171942 6.726117 1.009925 0.074077 0.045413 -0.981540 0.170383 0.0001090604 -0.0000614865 -0.0000027278 0.0001113664 0.0000077628 0.0001753962 0.0062372505 0.0007127379 0.0000807032 0.0031531035 -0.0002495777 0.0025187142
123460.20000 -1.273720 7.011186 0.993103 0.066960 0.049369 -0.980493 0.178081 0.0001115762 -0.0000624101 -0.0000175943 0.0001128850 0.0000218019 0.0001772398 0.0070109840 0.0008515129 0.0000870918 0.0036066750 -0.0003163639 0.0028202893
123460.30000 -1.375089 7.303264 0.963137 0.057756 0.047307 -0.979654 0.186289 0.0000648539 -0.0000180302 -0.0000069696 0.0000650195 0.0000101937 0.0001747889 0.0075316722 0.0009722615 0.0003787089 0.0040838072 -0.0003913031 0.0029779008
123460.40000 -1.515322 7.581071 0.942676 0.052093 0.053862 -0.978205 0.193651 0.0001646541 -0.0000022944 -0.0000036290 0.0001717144 0.0000096017 0.0002954138 0.0081966042 0.0010271880 0.0004883338 0.0046183536 -0.0004771984 0.0033397495
123460.50000 -1.620598 7.872887 0.882895 0.042777 0.057452 -0.976991 0.200893 0.0000597628 -0.0000155728 -0.0000037883 0.0000641389 0.0000082207 0.0001767022 0.0087890451 0.0009530229 0.0006219216 0.0047526647 -0.0005288545 0.0036978957
123460.60000 -1.751676 8.191560 0.852760 0.034925 0.059989 -0.975386 0.209291 0.0000704212 -0.0000217423 0.0000026877 0.0000662119 0.0000026311 0.0001776437 0.0094144252 0.0008581336 0.0006364160 0.0051484501 -0.0007998312 0.0039862709
123460.70000 -1.874510 8.468684 0.820375 0.021315 0.053179 -0.974264 0.218006 0.0000468879 -0.0000063436 0.0000005582 0.0000560527 0.0000039880 0.0001770352 0.0097960465 0.0012279722 0.0001285455 0.0052603832 -0.0007959334 0.0037749635
123460.80000 -1.989536 8.735907 0.782161 0.012183 0.054656 -0.973162 0.223203 0.0000379396 0.0000017511 0.0000030743 0.0000437972 0.0000062661 0.0001692310 0.0098556409 0.0017631711 0.0003513794 0.0035321568 -0.0002015491 0.0031299795
123460.90000 -2.127457 9.012818 0.730693 0.001952 0.052395 -0.971703 0.230314 0.0000489724 -0.0000075219 0.0000045484 0.0000521649 0.0000061560 0.0001699809 0.0105236143 0.0019220768 0.0003900562 0.0037821382 -0.0002327218 0.0033238491
123461.00000 -2.277137 9.302410 0.675615 -0.010686 0.047822 -0.970085 0.237770 0.0000463429 -0.0000054329 0.0000091137 0.0000514121 0.0000043860 0.0001702837 0.0112516682 0.0021305137 0.0004282940 0.0040591670 -0.0002604224 0.0035531834
123461.10000 -2.423910 9.582826 0.606320 -0.017938 0.048626 -0.968177 0.244841 0.0000400799 0.0000014872 0.0000121396 0.0000445790 0.0000057323 0.0001698483 0.0120381432 0.0023693491 0.0004761796 0.0043504526 -0.0002810027 0.0038226070
123461.20000 -2.591156 9.870523 0.550556 -0.026403 0.048146 -0.965944 0.252860 0.0000478723 -0.0000034049 0.0000130423 0.0000478011 0.0000054427 0.0001704051 0.0128544115 0.0026049301 0.0005198934 0.0046833230 -0.0003171526 0.0040514112
123461.30000 -2.752965 10.146748 0.486553 -0.037263 0.041249 -0.964111 0.259616 0.0000625339 -0.0000169381 0.0000109375 0.0000618073 0.0000089721 0.0001732203 0.0137715525 0.0028788828 0.0005651518 0.0051349511 -0.0003651560 0.0043935111
123461.40000 -2.908549 10.419930 0.412177 -0.046226 0.038080 -0.962173 0.265775 0.0001004220 -0.0000536422 -0.0000006898 0.0001012402 0.0000250001 0.0001815493 0.0147026977 0.0031319685 0.0006419052 0.0056180473 -0.0004144431 0.0047454842
123461.50000 -3.088311 10.700789 0.333763 -0.056631 0.027452 -0.959599 0.274242 0.0000668879 -0.0000188729 0.0000183396 0.0000631600 0.0000081079 0.0001726917 0.0156893972 0.0033925280 0.0007133670 0.0061988516 -0.0004929649 0.0051543700
123461.60000 -3.272555 10.980887 0.254727 -0.063733 0.024183 -0.957459 0.280401 0.0000967131 -0.0000439513 0.0000263690 0.0000886773 0.0000059918 0.0001755313 0.0166376198 0.0037015905 0.0006660323 0.0067354886 -0.0005917191 0.0052617282
123461.70000 -3.449618 11.256743 0.188333 -0.068201 0.022860 -0.954380 0.289801 0.0000584978 -0.0000097053 0.0000262670 0.0000561592 0.0000067160 0.0001735989 0.0174752434 0.0040613474 0.0008020961 0.0072973556 -0.0006674779 0.0054890252
123461.80000 -3.639341 11.531666 0.111126 -0.074096 0.017228 -0.951583 0.297831 0.0000737701 -0.0000167547 0.0000300855 0.0000584524 0.0000038759 0.0001759999 0.0185385118 0.0043867320 0.0009145331 0.0081375088 -0.0008196844 0.0059035285
123461.90000 -3.808786 11.775963 0.033527 -0.081028 0.009906 -0.948599 0.305771 0.0000460407 0.0000027842 0.0000286687 0.0000445994 0.0000061617 0.0001709224 0.0191781635 0.0045150483 0.0010380065 0.0078184721 -0.0007506396 0.0060289989
123462.00000 -3.960689 11.986585 -0.039208 -0.085970 0.003621 -0.946418 0.311271 0.0000452243 0.0000039039 0.0000313434 0.0000419549 0.0000066902 0.0001616184 0.0194566579 0.0055819555 0.0009355194 0.0062568862 -0.0000594491 0.0056942982
123462.10000 -4.153426 12.243312 -0.120072 -0.088512 -0.001138 -0.943740 0.318620 0.0000490063 0.0000016251 0.0000323790 0.0000445260 0.0000078969 0.0001610980 0.0201691298 0.0059027678 0.0009752390 0.0065500085 -0.0000450158 0.0059147457
123462.20000 -4.337337 12.482495 -0.200737 -0.092648 -0.009496 -0.940647 0.326357 0.0000506817 0.0000011690 0.0000343165 0.0000452543 0.0000071349 0.0001614612 0.0211157199 0.0063368904 0.0010412209 0.0069428607 -0.0000380498 0.0062176147
123462.30000 -4.532931 12.717788 -0.271803 -0.094114 -0.015591 -0.937908 0.333510 0.0000477839 0.0000049283 0.0000348610 0.0000423102 0.0000094124 0.0001598925 0.0219873792 0.0067709013 0.0011037155 0.0072794790 -0.0000035739 0.0064748871
123462.40000 -4.737513 12.959146 -0.332862 -0.094702 -0.021225 -0.935046 0.340984 0.0000480995 0.0000052604 0.0000354122 0.0000421606 0.0000102072 0.0001594766 0.0228801048 0.0072332540 0.0011659762 0.0076702442 0.0000227733 0.0067183671
123462.50000 -4.936600 13.193067 -0.421553 -0.094991 -0.026926 -0.932108 0.348463 0.0000483058 0.0000055983 0.0000357897 0.0000421134 0.0000110774 0.0001590291 0.0238014270 0.0077268359 0.0012348413 0.0081081182 0.0000488661 0.0069868304
123462.60000 -5.137294 13.426386 -0.488557 -0.093408 -0.032799 -0.929206 0.356054 0.0000485693 0.0000059427 0.0000361418 0.0000420406 0.0000117382 0.0001587000 0.0247142632 0.0081978671 0.0013045902 0.0085489521 0.0000833920 0.0072504414
123462.70000 -5.349214 13.662229 -0.561196 -0.090807 -0.038693 -0.926129 0.364064 0.0000485300 0.0000063285 0.0000360459 0.0000420823 0.0000128279 0.0001582960 0.0256467999 0.0087036239 0.0013769651 0.0089754410 0.0001261130 0.0075148133
123462.80000 -5.559522 13.879334 -0.599466 -0.087162 -0.043495 -0.923480 0.371074 0.0000485441 0.0000066253 0.0000358529 0.0000420446 0.0000138886 0.0001579238 0.0265888059 0.0092673613 0.0014364798 0.0094226798 0.0001679476 0.0077838407
123462.90000 -5.784520 14.114554 -0.658376 -0.082302 -0.047187 -0.920434 0.379211 0.0000480734 0.0000069221 0.0000352300 0.0000419532 0.0000147329 0.0001578151 0.0274676012 0.0098421349 0.0015060982 0.0098594342 0.0002129480 0.0080371068
123463.00000 -6.001935 14.329652 -0.705998 -0.076646 -0.050576 -0.917619 0.386707 0.0000477106 0.0000071368 0.0000346352 0.0000418906 0.0000154792 0.0001577746 0.0284660852 0.0104592319 0.0015814217 0.0103675359 0.0002653126 0.0083297008
123463.10000 -6.242022 14.562105 -0.766254 -0.071121 -0.054647 -0.914375 0.394809 0.0000469601 0.0000073263 0.0000335465 0.0000418397 0.0000164230 0.0001578940 0.0293608079 0.0110852819 0.0016408058 0.0108071388 0.0003395428 0.0085868947
123463.20000 -6.459606 14.752808 -0.796320 -0.063593 -0.056945 -0.911715 0.401858 0.0000461805 0.0000076251 0.0000327169 0.0000414767 0.0000172494 0.0001575485 0.0301384664 0.0121461435 0.0016084184 0.0106945146 0.0006009650 0.0088120438
123463.30000 -6.695884 14.969034 -0.827596 -0.055550 -0.058313 -0.908771 0.409451 0.0000454078 0.0000076136 0.0000313104 0.0000416259 0.0000182053 0.0001580232 0.0309674706 0.0127944342 0.0016667211 0.0111691890 0.0006619815 0.0090748115
123463.40000 -6.931341 15.182645 -0.860202 -0.047446 -0.058790 -0.905851 0.416806 0.0000445766 0.0000075469 0.0000296863 0.0000417426 0.0000190353 0.0001586536 0.0319421871 0.0134981996 0.0017393142 0.0117377811 0.0007213542 0.0093781959
123463.50000 -7.177915 15.388878 -0.880335 -0.039094 -0.059639 -0.902773 0.424166 0.0000437687 0.0000074660 0.0000281311 0.0000417481 0.0000196935 0.0001591695 0.0329089248 0.0142070531 0.0018101545 0.0123159299 0.0007877593 0.0096775609
123463.60000 -7.425039 15.586925 -0.892848 -0.029721 -0.058769 -0.899680 0.431553 0.0000428961 0.0000072670 0.0000263312 0.0000417743 0.0000203484 0.0001597832 0.0338689386 0.0149572149 0.0018875684 0.0129518234 0.0008548979 0.0099870490
123463.70000 -7.664680 15.776967 -0.911393 -0.020899 -0.057038 -0.896914 0.438012 0.0000419598 0.0000069546 0.0000242164 0.0000417234 0.0000208719 0.0001604365 0.0347985736 0.0157234630 0.0019657222 0.0135932011 0.0009242684 0.0102923653
123463.80000 -7.908854 15.972634 -0.936946 -0.011640 -0.055837 -0.893709 0.445006 0.0000411369 0.0000066442 0.0000222431 0.0000416463 0.0000211778 0.0001610379 0.0356984221 0.0164710085 0.0020367167 0.0142188358 0.0009965061 0.0105910664
123463.90000 -8.167818 16.167442 -0.938943 -0.001992 -0.052534 -0.890440 0.452055 0.0000403323 0.0000062832 0.0000200413 0.0000415930 0.0000216220 0.0001616318 0.0366461387 0.0172551945 0.0021072617 0.0148692989 0.0010753208 0.0109073045
123464.00000 -8.429035 16.357401 -0.939983 0.007022 -0.049847 -0.886911 0.459189 0.0000395441 0.0000058199 0.0000177279 0.0000413737 0.0000216548 0.0001622661 0.0376119538 0.0180827951 0.0021937248 0.0156017675 0.0011439427 0.0112373388
123464.10000 -8.690551 16.536553 -0.931777 0.016255 -0.045852 -0.883546 0.465811 0.0000389433 0.0000054332 0.0000156304 0.0000411949 0.0000218032 0.0001627400 0.0385643777 0.0189320689 0.0022765595 0.0163549790 0.0012224922 0.0115709225
123464.20000 -8.952374 16.709625 -0.905412 0.026185 -0.041076 -0.880076 0.472328 0.0000383193 0.0000049226 0.0000131775 0.0000409619 0.0000217254 0.0001633373 0.0394813352 0.0197724832 0.0023643206 0.0171373014 0.0012958298 0.0118994842
123464.30000 -9.216096 16.875900 -0.878616 0.034309 -0.035653 -0.876794 0.478313 0.0000378160 0.0000044121 0.0000106971 0.0000407118 0.0000215637 0.0001638687 0.0403788611 0.0206251856 0.0024577310 0.0179336235 0.0013644065 0.0122265843
123464.40000 -9.482087 17.047497 -0.864242 0.042458 -0.030017 -0.873123 0.484720 0.0000373345 0.0000039598 0.0000084700 0.0000400982 0.0000210029 0.0001642370 0.0411156999 0.0216434398 0.0025082030 0.0185428385 0.0014986155 0.0125251111
123464.50000 -9.752914 17.213363 -0.840347 0.050493 -0.024109 -0.869222 0.491245 0.0000370488 0.0000034556 0.0000060596 0.0000398275 0.0000205947 0.0001646519 0.0420133354 0.0225670701 0.0025934100 0.0193457034 0.0015872112 0.0128714724
123464.60000 -10.026784 17.377661 -0.807035 0.057387 -0.017702 -0.865223 0.497778 0.0000368552 0.0000030250 0.0000039321 0.0000394313 0.0000199994 0.0001649989 0.0429262044 0.0234938278 0.0026893340 0.0202362729 0.0016689921 0.0132276060
123464.70000 -10.298585 17.527058 -0.747979 0.065210 -0.010750 -0.861150 0.504037 0.0000367356 0.0000026237 0.0000018457 0.0000390416 0.0000192939 0.0001652813 0.0438291325 0.0244382449 0.0027914849 0.0211637178 0.0017500616 0.0135882288
123464.80000 -10.565454 17.670223 -0.693477 0.071473 -0.003468 -0.857096 0.510162 0.0000366813 0.0000022078 -0.0000004388 0.0000386136 0.0000183663 0.0001655984 0.0446541260 0.0253566335 0.0029016267 0.0220911330 0.0018189281 0.0139255895
123464.90000 -10.835768 17.813255 -0.639370 0.076180 0.004176 -0.853234 0.515917 0.0000366798 0.0000018753 -0.0000025800 0.0000380099 0.0000174728 0.0001657004 0.0454521194 0.0262835333 0.0030037923 0.0230041971 0.0018978439 0.0142548087
123465.00000 -11.120527 17.956485 -0.586831 0.080528 0.011526 -0.848481 0.522936 0.0000367130 0.0000016411 -0.0000042061 0.0000373727 0.0000161380 0.0001658675 0.0462449807 0.0272266315 0.0031074101 0.0239628633 0.0019806682 0.0145924095
123465.10000 -11.399304 18.090143 -0.504636 0.084202 0.018834 -0.844355 0.528791 0.0000368445 0.0000014230 -0.0000059689 0.0000368697 0.0000149015 0.0001660013 0.0470820277 0.0282298626 0.0032173579 0.0250030277 0.0020701058 0.0149570326
123465.20000 -11.687025 18.225837 -0.450004 0.086452 0.025581 -0.839335 0.536085 0.0000369872 0.0000012760 -0.0000073919 0.0000365105 0.0000138112 0.0001660934 0.0478657398 0.0291865880 0.0033353813 0.0260614099 0.0021402358 0.0153113136
123465.30000 -11.975520 18.349051 -0.378541 0.087711 0.032728 -0.834818 0.542507 0.0000370637 0.0000011851 -0.0000083337 0.0000359962 0.0000124997 0.0001662056 0.0486804918 0.0301967549 0.0034534781 0.0271805869 0.0022348323 0.0156750320
123465.40000 -12.265310 18.469458 -0.323395 0.087539 0.038823 -0.830056 0.549397 0.0000371413 0.0000011494 -0.0000092236 0.0000354345 0.0000109700 0.0001662482 0.0494131084 0.0312018713 0.0035729327 0.0283274591 0.0023253741 0.0160252950
123465.50000 -12.554778 18.587815 -0.259541 0.086923 0.044870 -0.825369 0.556055 0.0000372058 0.0000011775 -0.0000098120 0.0000349810 0.0000093855 0.0001663482 0.0501587451 0.0322177436 0.0036869330 0.0295090007 0.0024234465 0.0163903704
123465.60000 -12.854946 18.710733 -0.197430 0.084632 0.050671 -0.820684 0.562803 0.0000372025 0.0000012276 -0.0000102768 0.0000344638 0.0000079309 0.0001663657 0.0508008551 0.0333393439 0.0037914829 0.0305949650 0.0025343291 0.0167353796
123465.70000 -13.141481 18.818655 -0.122391 0.081957 0.055756 -0.816036 0.569439 0.0000372117 0.0000012929 -0.0000103155 0.0000341571 0.0000061216 0.0001665458 0.0515286796 0.0344376862 0.0039122403 0.0318255345 0.0026369161 0.0171219481
123465.80000 -13.440405 18.923671 -0.047591 0.078563 0.060562 -0.810798 0.576859 0.0000371522 0.0000013567 -0.0000101304 0.0000339453 0.0000047143 0.0001666650 0.0521838186 0.0354577582 0.0040326224 0.0330481059 0.0027271106 0.0174793776
123465.90000 -13.739921 19.025688 0.038004 0.074765 0.063997 -0.806178 0.583431 0.0000370597 0.0000014464 -0.0000098553 0.0000336345 0.0000029307 0.0001667389 0.0528751782 0.0365214301 0.0041612699 0.0343787454 0.0028244012 0.0178503551
123466.00000 -14.035415 19.116115 0.139485 0.070404 0.068288 -0.801417 0.590009 0.0000369205 0.0000015074 -0.0000092123 0.0000334324 0.0000016028 0.0001668310 0.0535376287 0.0375856895 0.0042932554 0.0357405824 0.0029208027 0.0182209714
123466.10000 -14.352803 19.213696 0.202861 0.064854 0.070781 -0.796250 0.597302 0.0000368067 0.0000015799 -0.0000087715 0.0000332133 -0.0000001412 0.0001668506 0.0541275117 0.0386157935 0.0044266729 0.0370902436 0.0030084140 0.0185689719
123466.20000 -14.646926 19.308507 0.296941 0.059003 0.073331 -0.791994 0.603230 0.0000366380 0.0000015949 -0.0000077762 0.0000330677 -0.0000016150 0.0001669111 0.0547847308 0.0397533195 0.0045537670 0.0385868871 0.0031297964 0.0189720932
123466.30000 -14.956115 19.393307 0.391516 0.052871 0.074121 -0.787158 0.609995 0.0000364652 0.0000016103 -0.0000066912 0.0000329893 -0.0000031482 0.0001669327 0.0554094473 0.0408134700 0.0046904078 0.0399718140 0.0032185806 0.0193327370
123466.40000 -15.258505 19.469540 0.459531 0.044820 0.074035 -0.782362 0.616781 0.0000362700 0.0000015704 -0.0000054258 0.0000329053 -0.0000043923 0.0001669230 0.0559967225 0.0419113596 0.0048274145 0.0415065868 0.0033228250 0.0197190141
123466.50000 -15.555582 19.534544 0.533128 0.036564 0.073810 -0.777681 0.623239 0.0000360729 0.0000014767 -0.0000034212 0.0000328789 -0.0000057429 0.0001669165 0.0565029128 0.0429498528 0.0049438726 0.0430144526 0.0034387900 0.0200864863
123466.60000 -15.867131 19.600395 0.595720 0.028844 0.071845 -0.773169 0.629457 0.0000359395 0.0000013605 -0.0000017350 0.0000328193 -0.0000070373 0.0001668100 0.0569435795 0.0439552975 0.0050639706 0.0445162792 0.0035475320 0.0204347876
123466.70000 -16.173986 19.664714 0.657301 0.019791 0.070016 -0.768654 0.635513 0.0000358389 0.0000011883 0.0000003241 0.0000328284 -0.0000080567 0.0001666634 0.0574162638 0.0450231216 0.0051853465 0.0461403673 0.0036728020 0.0208232746
123466.80000 -16.482226 19.719965 0.710081 0.011140 0.066728 -0.763998 0.641663 0.0000357805 0.0000009936 0.0000025499 0.0000327570 -0.0000092133 0.0001663593 0.0577997880 0.0461369859 0.0052994262 0.0476942177 0.0037973720 0.0211903217
123466.90000 -16.796440 19.773961 0.777258 0.002903 0.062929 -0.759229 0.647767 0.0000358663 0.0000007009 0.0000049063 0.0000327497 -0.0000100742 0.0001660939 0.0581576357 0.0472189150 0.0054146314 0.0493071196 0.0039288726 0.0215700607
123467.00000 -17.107087 19.823312 0.830575 -0.006170 0.058064 -0.754635 0.653541 0.0000360158 0.0000004264 0.0000070750 0.0000327478 -0.0000107262 0.0001657584 0.0585254059 0.0483061841 0.0055414344 0.0510209673 0.0040598653 0.0219703905
123467.10000 -17.418171 19.867078 0.888010 -0.014792 0.053215 -0.749815 0.659338 0.0000362574 0.0000000991 0.0000096625 0.0000327581 -0.0000115009 0.0001652581 0.0588804038 0.0493445436 0.0056577441 0.0527506540 0.0041972801 0.0223595584
123467.20000 -17.737551 19.908466 0.916863 -0.023496 0.046513 -0.745064 0.664954 0.0000365724 -0.0000002270 0.0000120079 0.0000327239 -0.0000119781 0.0001647384 0.0592054312 0.0503717319 0.0057783533 0.0545246153 0.0043360985 0.0227509727
123467.30000 -18.054843 19.941243 0.951264 -0.030897 0.040063 -0.739777 0.670947 0.0000370679 -0.0000006023 0.0000147368 0.0000326190 -0.0000123185 0.0001640608 0.0595169255 0.0514310402 0.0058839834 0.0563604767 0.0044952920 0.0231525923
123467.40000 -18.353973 19.970900 0.987249 -0.038995 0.032828 -0.735370 0.675746 0.0000375533 -0.0000009146 0.0000169831 0.0000325229 -0.0000125125 0.0001634051 0.0597773197 0.0524565906 0.0059940936 0.0582329757 0.0046550616 0.0235521145
123467.50000 -18.673838 19.997880 1.012483 -0.046144 0.025219 -0.730107 0.681306 0.0000383001 -0.0000012569 0.0000197107 0.0000324044 -0.0000124580 0.0001625673 0.0599834815 0.0534034163 0.0060967901 0.0599839161 0.0048000914 0.0239221375
123467.60000 -18.974747 20.021948 1.037268 -0.052237 0.017690 -0.725416 0.686098 0.0000389726 -0.0000015527 0.0000220174 0.0000322207 -0.0000123418 0.0001617318 0.0602022498 0.0544436800 0.0062039230 0.0619225518 0.0049690935 0.0243263074
123467.70000 -19.295493 20.033273 1.063312 -0.057498 0.009261 -0.719796 0.691739 0.0000397356 -0.0000018179 0.0000242042 0.0000320456 -0.0000121634 0.0001608869 0.0603967046 0.0553879880 0.0063021639 0.0637579808 0.0051249337 0.0247052693
123467.80000 -19.612381 20.042755 1.077898 -0.061919 0.001277 -0.714160 0.697237 0.0000405641 -0.0000019942 0.0000263448 0.0000318001 -0.0000115948 0.0001600718 0.0605119008 0.0563690995 0.0064015336 0.0657871681 0.0053025121 0.0251043196
123467.90000 -19.916802 20.047715 1.084684 -0.067341 -0.006710 -0.709085 0.701868 0.0000413980 -0.0000021646 0.0000283076 0.0000315698 -0.0000110947 0.0001592018 0.0606162150 0.0573247356 0.0064928243 0.0678104251 0.0054849746 0.0254996604
123468.00000 -20.234552 20.043903 1.087295 -0.070402 -0.015329 -0.703334 0.707198 0.0000422582 -0.0000023219 0.0000302392 0.0000313358 -0.0000107139 0.0001582235 0.0606173436 0.0582483197 0.0065675717 0.0697208340 0.0056636372 0.0258640310
123468.10000 -20.557020 20.036099 1.065097 -0.073106 -0.023722 -0.697409 0.712540 0.0000430909 -0.0000023917 0.0000318885 0.0000310929 -0.0000100327 0.0001574304 0.0605849231 0.0591927671 0.0066417871 0.0717899905 0.0058591985 0.0262489298
123468.20000 -20.869199 20.027172 1.048126 -0.074907 -0.031608 -0.691619 0.717672 0.0000439021 -0.0000023810 0.0000333859 0.0000308717 -0.0000092326 0.0001566696 0.0605727924 0.0601097982 0.0067021409 0.0739352563 0.0060684507 0.0266530069
123468.30000 -21.187041 20.011409 1.024275 -0.076014 -0.039464 -0.685311 0.723197 0.0000445727 -0.0000023159 0.0000346336 0.0000306371 -0.0000083778 0.0001560024 0.0605395454 0.0609734943 0.0067630665 0.0760268717 0.0062669144 0.0270283811
123468.40000 -21.500817 19.990355 1.001385 -0.076247 -0.046471 -0.679155 0.728543 0.0000451765 -0.0000022011 0.0000356865 0.0000304208 -0.0000074454 0.0001554332 0.0604808198 0.0618286311 0.0068190568 0.0782056543 0.0064730614 0.0274158199
123468.50000 -21.813763 19.962351 0.976974 -0.074625 -0.053342 -0.673074 0.733864 0.0000457387 -0.0000021248 0.0000366733 0.0000302151 -0.0000067238 0.0001548300 0.0603674013 0.0626600330 0.0068726787 0.0803811492 0.0066780131 0.0277849645
123468.60000 -22.131181 19.924696 0.951793 -0.073740 -0.059092 -0.666487 0.739504 0.0000461517 -0.0000018941 0.0000373500 0.0000300084 -0.0000056476 0.0001544679 0.0602066360 0.0634571916 0.0069165743 0.0825832787 0.0068825221 0.0281537295
123468.70000 -22.449872 19.890198 0.883752 -0.071339 -0.065581 -0.660156 0.744852 0.0000463502 -0.0000017348 0.0000378607 0.0000298405 -0.0000047617 0.0001541584 0.0599954169 0.0642229391 0.0069575481 0.0848652657 0.0070937338 0.0285175614
123468.80000 -22.761176 19.849158 0.842828 -0.067175 -0.069827 -0.653931 0.750324 0.0000465771 -0.0000014169 0.0000382991 0.0000296753 -0.0000035059 0.0001539169 0.0598132569 0.0650082848 0.0069649642 0.0871483591 0.0073232154 0.0288966233
123468.90000 -23.075191 19.806967 0.774214 -0.064083 -0.074636 -0.647852 0.755387 0.0000463107 -0.0000011502 0.0000381098 0.0000295323 -0.0000024473 0.0001540721 0.0595704728 0.0657284821 0.0069876417 0.0894262114 0.0075353566 0.0292513229
